ra,dec,ra1,dec1
30.9735,42.3187,24.201,41.4019
24.201,41.4019,24.4995,48.6155
24.201,41.4019,17.4345,35.6151
17.4345,35.6151,9.8325,30.848
9.8325,30.848,2.091,29.0833
17.4345,35.6151,14.181,38.4856
14.181,38.4856,12.45,41.0639
11.832,24.2648,9.6315,29.3011
9.6315,29.3011,9.8325,30.848
9.8325,30.848,4.275,38.6689
4.275,38.6689,354.5355,43.264
354.5355,43.264,355.1025,44.3355
355.1025,44.3355,354.3915,46.4497
354.5355,43.264,345.477,42.3187
164.175,-37.1334,156.7845,-31.0658
156.7845,-31.0658,146.052,-27.7655
146.052,-27.7655,142.305,-35.9474
250.767,-77.5155,248.3595,-78.8848
248.3595,-78.8848,245.082,-78.6843
245.082,-78.6843,221.964,-79.0338
347.355,-21.1651,343.6605,-15.8194
343.6605,-15.8194,342.399,-13.5848
342.399,-13.5848,343.1505,-7.5688
343.1505,-7.5688,348.576,-6.0332
348.576,-6.0332,337.209,-0.0172
337.209,-0.0172,335.409,-1.3808
335.409,-1.3808,331.4385,-0.3151
331.4385,-0.3151,322.89,-5.5691
322.89,-5.5691,313.1565,-8.984
313.1565,-8.984,311.9175,-9.4825
331.4385,-0.3151,334.206,-7.7808
334.206,-7.7808,331.611,-13.8656
284.898,15.0688,286.353,13.8484
286.353,13.8484,296.568,10.5997
296.568,10.5997,297.6915,8.8694
297.6915,8.8694,298.8255,6.3999
298.8255,6.3999,298.116,1.0027
298.116,1.0027,294.174,-1.2834
294.174,-1.2834,286.5585,-4.8644
286.5585,-4.8644,285.4185,-5.7353
302.826,-0.8193,298.116,1.0027
298.116,1.0027,291.378,3.0997
262.776,-60.682,261.3435,-56.3676
261.3435,-56.3676,261.3255,-55.5139
261.3255,-55.5139,262.959,-49.8645
262.959,-49.8645,254.892,-53.1476
254.892,-53.1476,254.6505,-55.9837
254.6505,-55.9837,252.4395,-59.0318
254.6505,-55.9837,261.3435,-56.3676
47.91,19.7155,44.799,21.3312
44.799,21.3312,42.4905,27.2499
42.4905,27.2499,31.794,23.4512
31.794,23.4512,28.659,20.7984
28.659,20.7984,28.3845,19.2858
89.886,54.282,89.886,44.9314
89.886,44.9314,89.925,37.2021
89.925,37.2021,74.25,33.1513
74.25,33.1513,76.6275,41.2358
76.6275,41.2358,75.6195,41.0639
75.6195,41.0639,75.4935,43.8141
75.4935,43.8141,76.6275,41.2358
76.6275,41.2358,79.1655,45.9856
79.1655,45.9856,89.886,44.9314
213.369,51.7839,214.092,46.083
214.092,46.083,218.016,38.3022
218.016,38.3022,225.4815,40.3821
225.4815,40.3821,228.873,33.3003
228.873,33.3003,231.114,37.3683
228.873,33.3003,221.2425,27.0665
221.2425,27.0665,213.9195,19.1654
213.9195,19.1654,217.959,30.3668
217.959,30.3668,218.016,38.3022
207.3645,15.785,206.8155,17.4523
206.8155,17.4523,208.665,18.3805
208.665,18.3805,213.9195,19.1654
213.9195,19.1654,220.182,16.4152
220.182,16.4152,220.2855,13.7166
70.1415,-41.8488,70.5075,-37.1334
74.319,53.7492,75.8475,60.4356
75.8475,60.4356,73.5105,66.3313
73.5105,66.3313,57.594,71.3161
57.594,71.3161,52.2645,59.9314
134.616,11.8488,131.1675,18.1513
131.1675,18.1513,130.818,21.4687
130.818,21.4687,131.6655,28.751
131.1675,18.1513,124.125,9.1845
193.998,38.3022,188.4345,41.3504
103.539,-12.0321,105.9345,-15.636
105.9345,-15.636,104.0325,-17.0512
104.0325,-17.0512,101.2815,-16.7017
101.2815,-16.7017,95.673,-17.9508
101.2815,-16.7017,105.7515,-23.835
105.7515,-23.835,107.091,-26.3847
107.091,-26.3847,105.4245,-27.9317
105.4245,-27.9317,104.6565,-28.9687
104.6565,-28.9687,95.076,-30.0516
107.091,-26.3847,108.702,-26.7686
108.702,-26.7686,109.6755,-24.9523
108.702,-26.7686,111.0285,-29.3011
114.8265,5.2139,111.7845,8.285
304.407,-12.5019,305.2485,-14.7651
305.2485,-14.7651,311.523,-25.2674
311.523,-25.2674,312.9495,-26.9176
312.9495,-26.9176,316.782,-24.9981
316.782,-24.9981,321.6645,-22.4026
321.6645,-22.4026,324.2655,-19.4519
324.2655,-19.4519,326.7585,-16.1173
326.7585,-16.1173,325.0155,-16.6502
325.0155,-16.6502,320.559,-16.8335
320.559,-16.8335,316.485,-17.2174
316.485,-17.2174,305.2485,-14.7651
95.982,-52.6835,98.7435,-52.9642
98.7435,-52.9642,102.456,-53.6174
102.456,-53.6174,119.193,-52.9642
119.193,-52.9642,125.6265,-59.5017
125.6265,-59.5017,139.269,-59.2668
139.269,-59.2668,154.269,-61.3179
154.269,-61.3179,157.9995,-61.6846
157.9995,-61.6846,160.7325,-64.3833
