name,ra,dec,diameter,mag,alias
IC1,2.113755,27.719167,,,
IC2,2.75334,-12.822222,0.8,14.7,
IC3,3.025005,-0.414722,0.6,13.8,
IC4,3.362505,17.485833,1,13.1,
IC5,4.39542,-9.542778,0.9,13.8,
IC6,4.72875,-3.276111,0.8,13.5,
IC7,4.72083,10.595278,0.7,13.8,
IC8,4.760835,-3.221944,0.8,14.4,
IC9,4.93416,-14.121389,0.4,14.4,
IC10,5.102085,59.2925,6.4,10.4,
IC11,13.224165,56.625,35,,NGC281
IC12,5.06334,-2.653333,0.8,14.9,
IC13,5.083755,7.700556,1.4,14,
IC14,5.630415,10.490278,,,
IC15,6.98958,-0.061389,0.4,15,
IC16,7.03209,-13.094167,0.5,14.6,
IC17,7.123755,2.648611,0.5,15.1,
IC18,7.145835,-11.586389,1.1,14.6,
IC19,7.164165,-11.640278,0.8,14.1,
IC20,7.165005,-13.009722,0.6,13.8,
IC21,7.29333,-0.163611,0.5,15.2,
IC22,7.38792,-9.080278,0.7,13.9,
IC23,7.711245,-12.719722,0.7,14,
IC24,7.81959,30.840556,,,
IC25,7.80084,-0.4075,1,14.3,
IC26,7.941255,-13.337778,0.5,15.1,NGC135
IC27,8.27583,-13.371111,0.6,14.8,
IC28,8.285835,-13.455833,0.6,14.9,
IC29,8.544585,-2.176944,0.7,15.1,
IC30,8.56125,-2.084722,0.7,15.9,
IC31,8.6025,12.268611,1.6,14.3,
IC32,8.75667,-2.141111,0.4,14.9,
IC33,8.77083,-2.137778,0.7,14.5,
IC34,8.90166,9.125,2.4,12.6,
IC35,9.41625,10.3575,1,14,
IC36,9.45666,-15.440833,0.6,14.5,
IC37,9.642495,-15.358611,0.8,14.9,
IC38,9.661665,-15.419167,0.9,14,
IC39,9.784995,-14.172222,2.1,12.6,NGC178
IC40,9.838755,2.456111,1,14.4,
IC41,9.91791,-14.173889,0.4,14.7,
IC42,10.27458,-15.428333,0.7,14.8,
IC43,10.591665,29.641944,1.6,13.2,
IC44,10.566255,0.846111,1.3,13.2,NGC223
IC45,10.652085,29.655833,,,
IC46,10.741245,27.253889,0.6,13.9,
IC47,10.72875,-13.740278,0.5,15.3,
IC48,10.89333,-8.185556,1,13.1,IC1577
IC49,10.98417,1.850556,1.5,13.7,
IC50,11.52375,-9.503333,0.7,14.1,
IC51,11.600835,-13.441389,1.4,12.8,
IC52,12.098745,4.091944,1,14.5,
IC53,12.669585,10.600833,0.5,13.9,
IC54,12.694995,-2.288611,,,
IC55,12.92625,7.719167,0.7,14.1,
IC56,12.874995,-12.844444,0.7,14.3,
IC56A,12.96333,-12.766944,0.4,15.7,
IC57,13.70166,11.841667,0.7,14.5,
IC58,13.759995,-13.6775,0.8,14.4,
IC59,14.368755,61.143611,10,,
IC60,14.0175,-13.3575,0.5,14.5,
IC61,14.28,7.507222,1.2,13.9,
IC62,14.683335,11.808333,0.9,14.1,
IC63,14.870835,60.911111,10,,
IC64,14.851665,27.059444,1.1,14,
IC65,15.230415,47.681667,3,12.9,
IC66,15.135,30.796667,1.2,14.1,
IC67,15.073335,-6.910833,,,
IC68,15.09,-6.944167,,,
IC69,15.34833,31.041111,0.9,13.7,
IC70,15.26625,0.051389,0.3,16.3,
IC71,15.33,-6.767222,,,
IC72,15.39417,-6.778056,,,
IC73,16.221255,4.767222,0.9,14.6,
IC74,16.482915,4.090833,0.4,14.8,
IC75,16.797915,10.837222,1.3,13.9,
IC76,17.04834,-4.554444,0.9,15.6,
IC77,17.18208,-15.420833,0.5,14.9,
IC78,17.19834,-15.844722,1.7,13.5,
IC79,17.207085,-15.948333,0.9,14.2,
IC80A,17.21292,-15.406389,0.5,14.1,
IC80B,17.20791,-15.403611,0.3,15.5,
IC81,17.34333,-1.695,1,13.8,
IC82,17.274165,-16.000278,0.8,13.8,
IC83,17.623755,1.689167,0.7,14.6,
IC84,17.856255,1.640833,0.8,14.6,
IC85,17.956245,-0.4525,,,
IC86,18.36834,-16.241111,0.7,14.7,
IC87,18.56583,0.765833,0.6,14.4,
IC88,18.63042,0.791667,0.4,15.3,
IC89,19.01541,4.294444,2,12.4,NGC446
IC90,19.126245,-7.976667,0.9,13.6,
IC91,19.66416,2.554167,0.5,15.7,
IC92,19.951665,32.767222,0.7,14.3,NGC468
IC93,19.75917,-17.061111,1.3,13.2,IC1671
IC94,20.022915,32.717222,,,
IC95,19.824165,-12.573611,0.4,15.5,
IC96,20.138745,29.616389,0.8,13.9,IC1672?
IC97,20.007915,14.861667,0.4,15,NGC475
IC98,20.22834,-12.604167,0.7,14.8,
IC99,20.61375,-12.9525,0.5,14.7,
IC100,20.724585,-4.6425,1.1,13.7,
IC101,21.035415,9.930556,1.4,14,
IC102,21.10959,9.887222,0.9,14.7,
IC103,21.151665,2.044722,0.9,14,
IC104,21.13917,-1.455833,,,
IC105,21.192495,2.075,0.7,14.7,
IC106,21.173745,-1.586944,1.5,13,NGC530
IC107,21.35292,14.864722,1,12.9,IC1700
IC108,21.162495,-12.635556,0.9,14.2,
IC109,21.30375,2.0675,1.1,13.5,
IC110,21.45834,33.526667,,,
IC111,21.454995,33.504444,,,
IC112,21.512085,11.443056,0.8,13.8,
IC113,21.606255,19.191944,0.4,15,
IC114,21.593745,9.910278,1.3,14.2,
IC115,21.72708,19.214444,0.5,14,
IC116,21.710415,-4.982222,0.9,13.7,
IC117,21.837495,-1.864444,,,
IC118,21.9,-4.996944,0.5,15.1,
IC119,21.97875,-2.04,1.3,13.7,
IC120,22.05333,-1.915,0.9,14.3,
IC121,22.09041,2.512778,0.9,13.5,
IC122,22.05459,-14.838889,0.5,15,
IC123,22.21416,2.446944,0.4,14.3,
IC124,22.287495,-1.936944,,,
IC125,22.326255,-13.279444,0.5,15.4,
IC126,22.448745,-1.983333,0.9,14.4,
IC127,22.4475,-6.979722,1.6,13.7,
IC128,22.84959,-12.624444,0.9,14.6,
IC129,22.879995,-12.653889,1.4,14.1,
IC130,22.869585,-15.591111,0.5,14.2,
IC131,23.296245,30.752778,0.3,14,
IC132,23.31666,30.945,0.7,13.5,
IC133,23.315835,30.884722,0.4,14,
IC134,23.355,30.899444,,,
IC135,23.56458,30.619444,0.4,14,
IC136,23.556255,30.561111,0.3,14.5,
IC137,23.41167,30.523056,0.6,14,
IC138,23.25834,-0.689722,1.1,13.9,
IC139,23.49708,30.575833,0.5,14,
IC140,23.492085,30.550556,0.5,13,
IC141,23.21541,-14.814722,1.3,13.6,
IC142,23.4825,30.756111,0.5,14.2,
IC143,23.54625,30.778056,0.3,13.7,
IC144,24.42,-13.314167,0.7,14.9,
IC145,24.66042,0.741389,0.7,14.9,
IC146,24.665835,-17.831111,0.7,14.4,NGC648
IC147,24.9975,-14.862778,0.9,14.5,
IC148,25.61208,13.976667,3.5,12.8,
IC149,25.606665,-16.3,1.1,14.3,
IC150,25.74,4.199167,1,13.9,
IC151,25.989165,13.2025,,,
IC152,26.005005,13.074444,0.4,14.9,
IC153,27.13791,12.613889,0.8,13.1,
IC154,26.3175,10.649722,1.5,14,
IC155,26.88333,60.611667,,,
IC156,26.371245,10.553333,1.5,13.5,
IC157,27.298335,12.853333,1.3,14.1,
IC158,26.472495,-6.935278,0.5,15.1,
IC159,26.604165,-8.636667,1.5,13.2,
IC160,26.622915,-13.247222,1.3,13.9,
IC161,27.182505,10.508333,0.8,13.8,
IC162,27.222495,10.522222,1.4,12.7,
IC163,27.312495,20.710556,1.8,13,
IC164,27.285,-3.904444,1.4,13.1,
IC165,27.55875,27.646111,3.2,12.4,NGC684
IC166,28.09167,61.853333,8,11.7,
IC167,27.785415,21.9125,2.7,13.1,
IC168,27.61458,-8.523611,0.9,14.2,
IC169,27.66375,-12.679167,0.5,15.3,
IC170,27.98916,-8.517222,0.3,14.4,
IC171,28.79292,35.281944,1.4,12.2,
IC172,28.72584,0.811667,0.4,14,
IC173,28.98792,1.284722,0.9,14,
IC174,29.06709,3.7625,1.3,13.3,
IC175,29.07834,1.3325,0.4,14.3,
IC176,29.22291,-2.018889,1.9,14,
IC177,29.252505,-0.089167,0.4,14.6,
IC178,29.728755,36.675,1.3,13.3,
IC179,30.04791,38.021389,1.6,12.6,
IC180,30.001245,23.605,0.8,14.6,
IC181,30.009585,23.659167,0.5,14.7,
IC182,29.96541,7.412222,0.9,13.7,
IC183,29.89125,-5.347222,1.3,13.9,
IC184,29.96292,-6.840556,1.1,13.8,
IC185,30.02541,-1.527778,0.5,15.4,
IC186A,30.099585,-1.553333,0.6,14.5,
IC186B,30.10542,-1.550556,0.3,14.6,
IC187_1,30.37791,26.481111,2,12.9,
IC187_2,30.39084,26.484722,0.7,13,
IC188,30.443745,26.546944,0.6,13.8,
IC189,30.470415,23.551111,0.7,13.9,
IC190,30.529995,23.550278,0.8,14.1,
IC191,30.6225,18.372778,1.3,12.7,NGC794
IC192,30.634995,16.014167,0.9,13.5,
IC193,30.62916,11.093056,1.7,13.4,
IC194,30.771255,2.613889,1.5,14.4,
IC195,30.935835,14.709167,1.5,13,
IC196,30.95709,14.739167,2.8,12.9,
IC197,31.02042,2.786667,1,13.5,
IC198,31.512915,9.296111,1.1,13.8,
IC199,31.580835,9.227222,1.4,14,IC1778
IC200,31.36083,31.175556,2.1,12.9,
IC201,31.813335,9.115556,0.6,16,
IC202,31.869165,9.168611,1.4,14.3,
IC203,31.873335,9.123056,0.6,16.1,
IC204,31.862505,-1.429722,0.3,14.7,
IC205,31.864995,-2.091944,0.9,13.6,
IC206,32.37834,-6.968889,1,14.2,
IC207,32.41416,-6.9225,2.2,13.9,
IC208,32.11584,6.394722,1.3,13.4,
IC209,32.244165,-7.059167,1.7,13.1,
IC210,32.367915,-9.679722,2.3,13.1,
IC211,32.78334,3.851944,2.3,13.2,
IC212,33.40917,16.594444,0.9,14.7,
IC213,33.5175,16.456111,1.9,13.8,
IC214,33.523755,5.176111,0.7,14.2,
IC215,33.538755,-6.806111,1.1,14.8,
IC216,33.980415,-2.014722,0.3,14.3,
IC217,34.044165,-11.925556,2.2,13.6,IC1787
IC218,34.279995,1.2825,0.8,14.9,
IC219,34.66125,-6.903056,1,13.4,
IC220,34.79958,-12.781389,0.9,14.5,
IC221,35.67,28.256944,1.6,13,
IC222,35.69958,11.638611,0.8,14.5,
IC223,35.50416,-20.745833,1.2,13.4,
IC224,36.18834,-12.563889,0.5,14.3,
IC225,36.617505,1.160833,1,13.5,
IC226,36.939585,28.208889,1.7,14.2,
IC227,37.014165,28.175556,1.3,14.5,
IC228,36.673335,-14.515833,1.1,14,NGC944
IC229,36.845835,-23.82,,,
IC230,37.19667,-10.831667,0.4,14.8,
IC231,37.48458,1.179444,1,13.6,
IC232,37.797915,1.266111,1.3,12.7,
IC233,37.91958,2.810556,0.4,14.2,
IC234,37.907085,-0.139444,0.6,14.5,
IC235,38.21166,20.641389,0.4,14.4,
IC236,38.232495,-0.130833,0.6,16,
IC237,38.38167,1.139722,0.5,14.7,
IC238,38.844585,12.838333,1.2,12.8,
IC239,39.11625,38.968889,4.6,11.1,
IC240,39.74292,41.719444,,,
IC241,39.47667,2.327778,1.1,13.4,
IC242,39.6,-6.933611,,,
IC243,39.63375,-6.901667,1.2,14.2,
IC244,39.852915,2.7275,0.7,14.8,
IC245,39.72666,-14.306111,1.1,14.3,
IC246,40.118745,2.479167,0.8,14.3,
IC247,40.036245,-11.733333,1.2,14,
IC248,40.35666,17.811944,0.9,13.4,
IC249,40.25916,-6.935556,1.9,12.8,NGC961/NGC1051
IC250,40.22583,-13.313611,0.9,13.9,
IC251,40.307505,-14.958056,0.6,14,
IC252_1,40.437495,-14.847778,0.7,14.7,
IC252_2,40.437495,-14.845278,0.3,15.7,
IC253,40.523745,-15.047222,0.9,13.9,
IC254,40.519995,-15.107222,0.4,15.2,
IC255,41.76375,16.288889,0.7,14.9,
IC256,42.417915,46.954444,0.5,16.9,
IC257,42.43833,46.975556,1.4,12.6,
IC258,42.441255,41.051944,1,14.1,
IC259,42.42,41.055556,0.7,14.3,
IC260,42.75375,46.955,1,13.2,
IC261,42.26667,-14.470278,1.3,13.6,NGC1120
IC262,42.93,42.828333,1.6,13.2,
IC263,42.41625,-0.069722,0.6,14.1,
IC264,42.19875,-0.108611,0.4,14.7,
IC265,43.68291,41.655833,0.7,14.6,
IC266,43.76958,42.263889,0.7,14.8,
IC267,43.45875,12.849167,1.6,13,
IC268,43.862085,-14.103333,1,14.6,
IC269,43.86,-14.066389,1.1,14.4,
IC270,43.933755,-14.2075,1.7,12.9,
IC271,43.997505,-12.008333,0.9,13.8,
IC272,44.026245,-14.186944,1,14.1,
IC273,44.29458,2.776111,1.5,13.4,
IC274,45.025005,44.216667,,,
IC275_1,45.23208,44.350278,0.3,16.3,
IC275_2,45.23292,44.346111,0.2,16.5,
IC275_3,45.24417,44.350556,0.2,15.6,
IC276,44.67084,-15.703333,2,13.1,
IC277,44.960415,2.771111,1.3,13.1,
IC278,45.376665,37.766389,1.1,13.2,
IC279,45.30084,16.209167,0.4,14.5,
IC280,45.762495,42.358889,,,
IC281,46.155,42.362778,0.4,14.6,NGC1177
IC282,46.55541,41.848889,1.4,12.5,NGC1198
IC283,45.96042,-0.204444,0.7,14.9,
IC284,46.54125,42.371667,3.8,11.5,
IC285,46.025835,-12.015,1.1,14.2,
IC286,46.197495,-6.485278,,,
IC287,46.24083,-12.07,0.8,14.7,
IC288,46.88667,42.387778,1,14.2,
IC289,47.58,61.3175,0.8,13.2,
IC290,47.428335,40.975,1.1,14.8,IC1884
IC291,46.86084,-12.586944,1.4,13.7,
IC292,47.55375,40.765833,1.2,13.5,IC1887
IC293,47.73375,41.137778,0.6,14.3,IC1888
IC294,47.76291,40.621667,2.1,13.9,IC295/IC296/IC1889
IC295,47.76291,40.621667,2.1,13.9,IC294/IC296/IC1889
IC296,47.76291,40.621667,2.1,13.9,IC294/IC295/IC1889
IC297,48.32667,42.148611,,,
IC298,47.826255,1.315833,0.8,14.6,
IC298A,47.83125,1.313333,0.7,14.9,
IC299,47.76042,-13.109167,0.4,14.8,
IC300,48.56583,42.415,0.3,15,
IC301,48.698745,42.223056,0.8,13.2,
IC302,48.21375,4.706389,1.8,12.8,
IC303,48.169995,-11.689444,0.4,15.2,
IC304,48.755835,37.881944,1.1,13.8,
IC305,48.76542,37.860556,0.8,14.1,
IC306,48.25083,-11.715833,0.5,14.8,
IC307,48.43833,-0.241111,1.7,13.3,
IC308,49.066245,41.181389,1.2,14.2,
IC309,49.025835,40.804722,0.9,13.5,
IC310,49.179165,41.324722,1.1,12.7,
IC311,49.195005,40.004167,0.9,14.1,
IC312,49.534995,41.754444,1,13.4,NGC1265
IC313,50.241255,41.894167,0.9,14.1,
IC314,49.707495,-1.973056,1.8,12.6,NGC1289
IC315,49.78875,4.039167,0.7,14.2,
IC316_1,50.33292,41.928611,0.5,14.2,
IC316_2,50.33292,41.931944,1.4,14.2,
IC317,49.730835,-12.739722,0.9,14,
IC318,50.1825,-14.568056,0.9,13.9,
IC319,50.863755,41.400556,,,
IC320,51.496665,40.789167,1.2,13.7,
IC321,51.12291,-14.985833,0.6,15.2,
IC322,51.50208,3.680278,0.9,14.6,
IC323,52.389585,41.855833,,,
IC324,51.617505,-21.355556,0.9,13.4,NGC1331
IC325,52.70334,-7.046389,0.8,15.7,
IC326,52.652085,-14.425,1.3,14.2,
IC327,52.7925,-14.692222,0.7,14.7,
IC328,52.79583,-14.637778,0.5,14.1,
IC329,53.00541,0.28,0.9,14.3,
IC330,53.03292,0.353333,1.2,14.1,
IC331,53.079165,0.282778,0.9,13.9,
IC332,53.15583,1.383056,0.9,13.7,
IC333,53.502915,-5.107222,,,
IC334,56.32125,76.6375,2.5,11.3,
IC335,53.88,-34.446667,2.6,12.1,IC1963
IC336,54.250005,23.4,,,
IC337,54.088755,-6.715,1.6,14.9,
IC338,54.40875,3.118333,0.8,13.8,
IC339,54.507915,-18.399722,,,
IC340,54.87042,-13.115,1.5,13.5,
IC341,55.000005,22,135,,
IC342,56.701665,68.095556,21.4,8.4,
IC343,55.029585,-18.443889,1.6,13.2,
IC344,55.37292,-4.665556,0.9,14.2,
IC345,55.287915,-18.314444,0.8,13.8,
IC346,55.35375,-18.371111,,,
IC347,55.63542,-4.298611,1.2,13,
IC348,56.14209,32.163056,10,7.3,IC1985
IC349,56.58333,23.939722,0.5,,
IC350,56.1525,-11.800833,1.2,13.8,
IC351,56.8875,35.047222,0.3,11.9,
IC352,56.90583,-8.731667,0.6,15,
IC353,58.251255,25.8,180,,
IC354,58.249995,23,130,,
IC355,58.44291,19.974167,0.5,14.9,
IC356,61.94292,69.811944,5.9,10.6,
IC357,60.93291,22.159722,1.2,13.2,
IC358,60.928335,19.895556,1,14.1,
IC359,63.118335,27.703056,1.3,13.9,
IC360,62.25,26.1,180,,
IC361,64.71084,58.249444,7,11.7,
IC362,64.17666,-12.199722,1.7,13.2,
IC363,64.729995,3.032222,0.2,14.4,
IC364,64.7775,3.189444,0.4,13.8,
IC365,64.809165,3.348889,1,13.9,
IC366,64.92291,2.360278,0.3,14.7,
IC367,65.17083,-14.780556,1.4,13.4,
IC368,65.67792,-12.614722,0.9,13.7,
IC369,65.867505,-11.789444,0.5,14.3,
IC370,66.0075,-9.395278,1.4,14,
IC371,67.55208,-0.560833,,,
IC372,67.517505,-5.01,0.6,15,
IC373,67.677915,-4.869722,1.4,13.9,
IC374,68.13666,16.635,0.8,14.9,
IC375,67.76334,-12.973611,0.9,14,
IC376,67.80708,-12.433056,0.6,14.7,
IC377,67.81875,-12.455,0.9,13.9,
IC378,67.866255,-12.299167,0.6,14.6,
IC379,67.96209,-7.237778,1.2,14.1,
IC380,67.922085,-12.927222,0.7,14.5,
IC381,71.11833,75.639722,2.4,12.3,
IC382,69.48084,-9.519722,2.3,12.8,
IC383,69.74166,9.8925,0.4,14.8,
IC384,69.82584,-7.838889,0.6,14.5,
IC385,69.88083,-7.096944,1.2,13.5,
IC386,69.99375,-9.455833,1,14.4,NGC1632
IC387,70.434165,-7.086389,1.6,12.8,
IC388_1,70.468335,-7.304167,0.3,15.2,
IC388_2,70.476255,-7.305833,0.4,15,
