name,ra,dec
LdN-1,16.48096,-16.109431
LdN-2,18.120755,-31.493177
LdN-3,18.05387,-30.998045
LdN-4,17.041697,-22.204227
LdN-5,17.270969,-24.421317
LdN-6,17.150464,-23.229882
LdN-7,17.476783,-26.289897
LdN-8,16.773841,-19.256209
LdN-9,17.167138,-23.228698
LdN-10,17.963477,-30.104619
LdN-11,17.135332,-22.897619
LdN-12,17.97015,-30.1208
LdN-13,17.066696,-22.169131
LdN-14,17.418134,-25.544111
LdN-15,17.073366,-22.16866
LdN-16,17.267496,-24.054893
LdN-17,17.133604,-22.731071
LdN-18,17.150339,-22.896554
LdN-19,17.485019,-26.039299
LdN-20,17.141941,-22.73048
LdN-21,17.484979,-25.9393
LdN-22,16.782064,-18.922305
LdN-23,17.287471,-23.970129
LdN-24,17.292494,-24.019772
LdN-25,17.541764,-26.185202
LdN-26,18.086982,-30.495623
LdN-27,16.463964,-15.110558
LdN-28,17.317515,-24.051314
LdN-29,18.113704,-30.62701
LdN-30,17.217097,-23.058475
LdN-31,16.832146,-19.085507
LdN-32,17.183594,-22.644188
LdN-33,16.689841,-17.428628
LdN-34,17.802573,-28.016306
LdN-35,17.941365,-29.072882
LdN-36,17.478022,-25.206457
LdN-37,17.334125,-23.883455
LdN-38,17.188536,-22.477166
LdN-39,17.193543,-22.493476
LdN-40,17.953034,-29.072032
LdN-41,18.086765,-29.99563
LdN-42,17.551575,-25.701152
LdN-43,16.574257,-15.836479
LdN-44,17.334061,-23.71679
LdN-45,17.518101,-25.370234
LdN-46,17.21691,-22.558481
LdN-47,16.831974,-18.585513
LdN-48,17.969672,-29.00415
LdN-49,18.036553,-29.499283
LdN-50,17.41768,-24.377461
LdN-51,17.210161,-22.342292
LdN-52,17.536434,-25.352243
LdN-53,17.385822,-23.913078
LdN-54,17.392512,-23.962597
LdN-55,17.384144,-23.879865
LdN-56,17.250259,-22.556103
LdN-57,17.377416,-23.730344
LdN-58,17.507922,-24.920962
LdN-59,17.343939,-23.382745
LdN-60,17.200022,-21.976342
LdN-61,17.522925,-24.919878
LdN-62,16.831803,-18.085518
LdN-63,16.831803,-18.085518
LdN-64,17.668403,-26.026026
LdN-65,17.216664,-21.891823
LdN-66,17.400688,-23.545337
