name,ra,dec,diameter,mag,alias
NGC1,1.816245,27.708889,1.7,12.9,
NGC2,1.821255,27.678611,1,14.2,
NGC3,1.819995,8.301389,1.1,13.3,
NGC4,1.85208,8.373889,0.6,15.8,
NGC5,1.95333,35.362778,1.2,13.3,
NGC6,2.38584,33.308889,1.7,13.1,NGC20
NGC7,2.086245,-29.916389,2.2,13.9,
NGC8,2.188755,23.838611,,,
NGC9,2.22708,23.817778,1.1,13.5,
NGC10,2.142915,-33.857778,2.4,12.5,
NGC11,2.176245,37.448056,1.5,13.7,
NGC12,2.18667,4.612222,1.1,13.1,
NGC13,2.198745,33.433056,2.3,13.2,
NGC14,2.19291,15.815833,2.8,12.1,
NGC15,2.260005,21.625,1,13.8,
NGC16,2.267505,27.73,1.8,12,
NGC17,2.777505,-12.107778,2.1,14.4,NGC34
NGC18,2.345835,27.732222,,,
NGC19,2.67,32.982778,1.1,13.3,
NGC20,2.38584,33.308889,1.7,13.1,NGC6
NGC21,2.69583,33.351944,1.5,12.7,NGC29
NGC22,2.450835,27.832778,1.3,13.6,
NGC23,2.47209,25.923889,2.1,12,
NGC24,2.483745,-24.964444,5.8,11.6,
NGC25,2.49708,-57.020278,1.4,13,
NGC26,2.607915,25.832222,2.1,12.9,
NGC27,2.63625,28.996944,1.2,13.5,
NGC28,2.605005,-56.988889,0.8,13.8,
NGC29,2.69583,33.351944,1.5,12.7,NGC21
NGC30,2.71167,21.9775,,,
NGC31,2.660415,-56.986111,1.3,13.9,
NGC32,2.72166,18.7925,0.6,,
NGC33,2.735835,3.676389,,,
NGC34,2.777505,-12.107778,2.1,14.4,NGC17
NGC35,2.79333,-12.020556,0.7,14.1,
NGC36,2.84334,6.388889,2.2,13.3,
NGC37,2.84583,-56.956944,1.1,13.7,
NGC38,2.945835,-5.586389,1.4,13.3,
NGC39,3.07833,31.060833,1.1,13.5,
NGC40,3.25416,72.5225,1.23,12.3,
NGC41,3.199995,22.023889,0.8,13.7,
NGC42,3.234585,22.100833,1.1,13.8,
NGC43,3.253755,30.915556,1.6,12.6,
NGC44,3.305835,31.286667,,,
NGC45,3.51666,-23.181389,8.5,10.6,
NGC46,3.541665,5.987222,,,
NGC47,3.62709,-7.167778,2.3,13.1,NGC58
NGC48,3.508755,48.235,1.6,13.6,
NGC49,3.59334,48.247222,1.1,13.7,
NGC50,3.68583,-7.345,2.4,12.3,
NGC51,3.645,48.256111,1.3,13.1,
NGC52,3.66666,18.581667,2.2,13.4,
NGC53,3.67917,-60.328611,2,12.6,
NGC54,3.781665,-7.106667,1.3,13.4,
NGC55,3.78333,-39.219444,31.2,7.9,
NGC56,3.83583,12.444444,,,
NGC57,3.878745,17.329167,2.2,11.6,
NGC58,3.62709,-7.167778,2.3,13.1,NGC47
NGC59,3.85542,-21.444722,2.6,12.4,
NGC60,3.992505,-0.303611,1.3,14.1,
NGC61A,4.099995,-6.317222,1.1,13,
NGC61B,4.10166,-6.322222,0.9,14.5,
NGC62,4.27209,-13.486389,1.1,13.2,
NGC63,4.43958,11.45,1.7,11.7,
NGC64,4.37625,-6.825,1.6,13.2,
NGC65,4.74459,-22.88,1,13.9,
NGC66,4.77042,-22.936389,1.2,13.5,
NGC67,4.562085,30.063333,0.3,14.2,
NGC67A,4.550415,30.055278,0.4,14.7,
NGC68,4.57584,30.0725,1.2,12.9,
NGC69,4.585005,30.040556,0.5,14.7,
NGC70,4.59333,30.078889,1.6,13.5,IC1539
NGC71,4.59792,30.063056,1.2,13.2,
NGC72,4.618335,30.040556,1.1,13.5,
NGC72A,4.64292,30.036111,0.3,14.7,
NGC73,4.66209,-15.321667,1.7,13.7,
NGC74,4.70625,30.061389,0.8,14.8,
NGC75,4.85958,6.449722,1.1,13.2,
NGC76,4.907085,29.934167,1,13.1,
NGC77,5.00667,-22.532222,0.4,14.8,
NGC78A,5.1075,0.826389,1.1,12.8,
NGC78B,5.11458,0.833333,1,13.5,
NGC79,5.26167,22.567222,0.6,14,
NGC80,5.29542,22.357778,1.6,12.1,
NGC81,5.305005,22.383333,0.2,15.7,
NGC82,5.323335,22.461111,,,
NGC83,5.34417,22.434167,1.5,12.5,
NGC84,5.338335,22.619167,,,
NGC85,5.356245,22.512222,0.7,14.8,NGC85A
NGC85A,5.356245,22.512222,0.7,14.8,NGC85
NGC85B,5.371245,22.506389,0.9,14.7,IC1546
NGC86,5.36916,22.556389,0.7,14.8,
NGC87,5.30916,-48.628889,0.9,14.3,
NGC88,5.341665,-48.639722,0.8,14.4,
NGC89,5.35125,-48.665278,1.2,13.5,
NGC90,5.464995,22.400556,1.9,13.7,
NGC91,5.465415,22.368889,,,
NGC92,5.38083,-48.624722,1.9,13.1,
NGC93,5.514165,22.408889,1.4,13.2,
NGC94_1,5.55666,22.483333,0.4,14.6,
NGC94_2,5.5575,22.473889,0.4,15.5,
NGC95,5.55666,10.491944,1.5,12.5,
NGC96,5.574165,22.546667,0.6,14.6,
NGC97,5.625,29.745556,1.3,12.3,
NGC98,5.705415,-45.268333,1.6,12.7,
NGC99,5.998335,15.77,1,13.7,
NGC100,6.01083,16.486389,4.2,13.3,
NGC101,5.97708,-32.536389,2.1,12.8,
NGC102,6.152085,-13.956111,1,13.5,
NGC103,6.32208,61.321944,5,9.8,
NGC104,6.02166,-72.080278,50,4,
NGC105,6.320415,12.883611,1.1,13.2,
NGC106,6.182085,-5.148889,0.9,13.7,
NGC107,6.425415,-8.283333,0.9,14.2,
NGC108,6.49875,29.211944,2.3,12.1,
NGC109,6.560835,21.807778,1.1,13.7,
NGC110,6.85584,71.390556,19,,
NGC111,28.925415,-3.066111,0.9,14.4,NGC758
NGC112,6.703335,31.702778,1,13.6,
NGC113,6.72792,-2.500556,1.4,13.1,
NGC114,6.7425,-1.785833,0.8,13.8,
NGC115,6.691665,-33.676111,1.9,13.1,
NGC116,6.7875,-7.938333,,,
NGC117,6.79542,1.334167,0.7,14.3,
NGC118,6.81708,-1.779722,0.7,13.6,
NGC119,6.739995,-56.977778,1,13,
NGC120,6.875415,-1.513611,1.5,13.4,
NGC121,6.696255,-71.536667,1.5,11.2,
NGC122,6.909585,-1.64,,,
NGC123,6.90084,-1.599444,,,
NGC124,6.96792,-1.810278,1.4,13,
NGC125,7.209585,2.838611,1.8,12.1,
NGC126,7.283745,2.811111,0.8,14.2,
NGC127,7.30125,2.873333,0.8,14.8,
NGC128,7.31208,2.865,2.5,11.8,
NGC129,7.49166,60.211667,12,6.5,
NGC130,7.3275,2.871111,0.7,14.4,
NGC131,7.408755,-33.260278,1.8,13.2,
NGC132,7.54416,2.093056,1.9,12.6,
NGC133,7.825005,63.351667,3,9.4,
NGC134,7.59084,-33.245,8.4,10.4,
NGC135,7.941255,-13.337778,0.5,15.1,IC26
NGC136,7.87791,61.509167,1.5,11.5,
NGC137,7.742085,10.208611,1.2,12.8,
NGC138,7.74666,5.159722,1.3,13.7,
NGC139,7.77708,5.078333,0.8,14.4,
NGC140,7.834995,30.791944,1.5,13.2,
NGC141,7.82334,5.179444,0.8,14.5,
NGC142,7.782915,-22.619444,1.1,13.8,
NGC143,7.81458,-22.56,1,14.4,
NGC144,7.836255,-22.646111,0.8,13.8,
NGC145,7.939995,-5.153889,1.8,12.7,
NGC146,8.262495,63.301667,5,9.1,
NGC147,8.29875,48.507222,13.2,9.5,
NGC148,8.56416,-31.786111,2,12.2,
NGC149,8.45916,30.723611,1.2,13.7,
NGC150,8.56542,-27.805,3.9,11.4,
NGC151,8.51166,-9.705,3.8,11.6,NGC153
NGC152,8.237085,-73.116111,1.7,,
NGC153,8.51166,-9.705,3.8,11.6,NGC151
NGC154,8.58084,-12.655833,1.1,14,
NGC155,8.66667,-10.766111,1.7,13.3,
NGC156,8.649165,-8.339444,,,
NGC157,8.69334,-8.396111,3.5,10.4,
NGC158,8.772915,-8.345,,,
NGC159,8.6475,-55.789722,1.4,13.7,
NGC160,9.017085,23.958056,2.3,12.7,
NGC161,8.89125,-2.848333,1.3,13.4,
NGC162,9.03834,23.962222,,,
NGC163,8.998755,-10.121389,1.6,12.7,
NGC164,9.137085,2.75,0.4,15.8,
NGC165,9.12042,-10.106389,1.6,13.1,
NGC166,8.953335,-13.610556,0.9,14.3,
NGC167,8.84541,-23.374722,1,13.7,
NGC168,9.16083,-22.593611,1.2,14,
NGC169,9.215415,23.991389,2.6,12.4,
NGC169A,9.2175,23.985,0.4,14,IC1559
NGC170,9.19125,1.886389,0.4,14.4,
NGC171,9.339585,-19.934444,2.1,12.2,NGC175
NGC172,9.30666,-22.586667,2,13.4,
NGC173,9.301665,1.942222,3.2,13,
NGC174,9.244995,-29.477778,1.4,12.9,
NGC175,9.339585,-19.934444,2.1,12.2,NGC171
NGC176,8.995005,-73.166111,1,12.7,
NGC177,9.39291,-22.549167,2.2,13.3,
NGC178,9.784995,-14.172222,2.1,12.6,IC39
NGC179,9.44292,-17.85,0.9,13.3,
NGC180,9.49041,8.634722,1.9,12.9,
NGC181,9.59709,29.473333,0.7,14.9,
NGC182,9.55167,2.728611,1.9,12.4,
NGC183,9.62208,29.511667,1.7,12.7,
NGC184,9.64917,29.4475,0.7,14.7,
NGC185,9.739995,48.337222,8,9.2,
NGC186,9.604995,3.166111,1.4,13.4,
NGC187,9.875835,-14.656389,1.3,13.2,
NGC188,11.875005,85.258333,15,8.1,
NGC189,9.898335,61.095,5,8.8,
NGC190,9.72792,7.062222,0.9,14,
NGC190A,9.7275,7.056389,0.6,14.8,
NGC191,9.74667,-9.002778,1.4,12.5,
NGC191A,9.75042,-9.015,0.7,14,IC1563
NGC192,9.80625,0.864167,1.9,12.6,
NGC193,9.827085,3.331111,1.4,12.3,
NGC194,9.826245,3.0375,1.6,12.2,
NGC195,9.898755,-9.194167,1.2,13.7,
NGC196,9.82416,0.913056,1.3,12.9,
NGC197,9.82791,0.8925,0.7,14.1,
NGC198,9.845415,2.798333,1.2,13.2,
NGC199,9.88791,3.138056,1.2,13.6,
NGC200,9.894585,2.886944,1.7,12.6,
NGC201,9.89541,0.860278,1.8,12.9,
NGC202,9.91542,3.535556,0.9,14.3,
NGC203,9.91458,3.4425,0.9,14,NGC211
NGC204,9.93417,3.3,1.2,12.9,
NGC205,10.09209,41.685278,19.5,8.1,M110
NGC206,10.134585,40.738333,4.2,14,
NGC207,9.91959,-14.236389,0.9,13.7,
NGC208,10.0725,2.755833,0.7,14.3,
NGC209,9.76458,-18.608333,1.1,12.9,
NGC210,10.144995,-13.8725,5,10.9,
NGC211,9.91458,3.4425,0.9,14,NGC203
NGC212,10.055835,-56.1525,1,13.3,
NGC213,10.291245,16.469722,1.5,13.5,
NGC214,10.366665,25.499444,1.9,12.3,
NGC215,10.20375,-56.214167,1.1,13,
NGC216,10.362915,-21.045278,2,13.2,
NGC217,10.39125,-10.021667,2.7,12.4,
NGC218,11.63334,36.325556,1.5,12.6,
NGC219,10.547085,0.904444,0.5,14.3,
NGC220,10.125,-73.404167,0.8,12.4,
NGC221,10.674165,40.865833,8.5,8.1,M32
NGC222,10.18209,-73.385833,0.6,12.2,
NGC223,10.566255,0.846111,1.3,13.2,IC44
NGC224,10.68459,41.268889,189.1,3.4,M31
NGC225,10.900005,61.766667,15,7,
NGC226,10.72458,32.580278,0.9,13.4,
NGC227,10.652505,-1.528056,1.5,12.2,
NGC228,10.727085,23.503333,1.2,13.7,
NGC229,10.76958,23.509444,1,14.1,
NGC230,10.6125,-23.628889,1.1,14.5,
NGC231,10.276665,-73.3525,0.8,12.7,
NGC232,10.69041,-23.561667,0.9,13.3,
NGC233,10.90209,30.586944,1.2,12.4,
NGC234,10.884585,14.3425,1.5,12.6,
NGC235A,10.719585,-23.541111,1.3,13.2,
NGC235B,10.72416,-23.545278,0.4,13.5,
NGC236,10.86417,2.958056,1.2,13.5,
NGC237,10.866255,-0.125278,1.6,13,
NGC238,10.85667,-50.182778,2,12.5,
NGC239,11.15625,-3.76,1,13.3,
NGC240,11.25792,6.112778,1.2,13.7,
NGC241,10.888335,-73.4425,0.9,,NGC242
NGC242,10.888335,-73.4425,0.9,,NGC241
NGC243,11.502915,29.959722,0.9,13.7,
NGC244,11.443755,-15.597222,1.2,12.9,
NGC245,11.52291,-1.723333,1.3,12.3,
NGC246,11.76375,-11.871389,4.08,10.9,
NGC247,11.784585,-20.76,19.2,9.1,
NGC248,11.350005,-73.380278,1,,
NGC249,11.382495,-73.080278,2,,
NGC250,11.81667,7.91,1.1,13.8,
NGC251,11.97459,19.596944,2.4,13.2,
NGC252,12.00708,27.623333,1.4,12.4,
NGC253,11.88792,-25.2875,29,7.2,
NGC254,11.86458,-31.421944,2.6,11.7,
NGC255,11.94708,-11.468333,3.1,11.9,
NGC256,11.47209,-73.506944,0.6,12.7,
NGC257,12.00666,8.296667,1.9,12.6,
NGC258,12.05334,27.657778,0.5,14.2,
NGC259,12.013335,-2.775833,2.9,12.8,
NGC260,12.14541,27.691944,0.8,13.5,
NGC261,11.616255,-73.103889,1.9,,
NGC262,12.196245,31.9575,1.1,13.1,
