name,ra,dec,alias
Sh2-1,15.98089,-26.120551,
Sh2-2,17.068505,-38.142524,
Sh2-3,17.229175,-38.50314,
Sh2-4,17.330216,-39.338788,
Sh2-5,17.334296,-38.454804,
Sh2-6,17.251141,-37.116579,NGC 6302
Sh2-7,16.005489,-22.950673,
Sh2-8,17.3569,-36.034725,NGC 6334
Sh2-9,16.353024,-25.589476,
Sh2-10,17.316669,-34.09035,
Sh2-11,17.44193,-34.205725,NGC 6357
Sh2-12,17.598937,-32.599629,
Sh2-13,17.507932,-31.56271,
Sh2-14,17.505132,-30.263032,
Sh2-15,17.842886,-31.264126,
Sh2-16,17.797835,-29.30389,
Sh2-17,17.769112,-28.858039,
Sh2-18,17.812797,-29.25171,
Sh2-19,17.822686,-29.11693,
Sh2-20,17.820639,-28.6672,
Sh2-21,17.860845,-28.894695,
Sh2-22,17.917715,-25.036182,
Sh2-23,16.223504,-8.372308,
Sh2-24,16.184389,-7.077309,
Sh2-25,18.090564,-24.394283,Lagoon nebula/M8/NGC6523/NGC6533
Sh2-26,17.983063,-23.326561,
Sh2-27,16.620113,-10.569765,
Sh2-28,18.044934,-23.584223,
Sh2-29,18.175253,-23.998583,
Sh2-30,18.059497,-23.015401,Trifid nebula/M20/NGC6514
Sh2-31,18.188429,-23.796652,
Sh2-32,18.181647,-23.647631,
Sh2-33,15.997881,-1.617479,
Sh2-34,18.106804,-21.658429,
Sh2-35,18.264081,-20.252104,
Sh2-36,16.091759,+0.394505,
Sh2-37,18.295312,-19.664194,
Sh2-38,18.145983,-18.269202,
Sh2-39,18.279579,-18.649763,
Sh2-40,18.200605,-17.744549,
Sh2-41,18.264283,-18.235301,
Sh2-42,18.171613,-16.815391,
Sh2-43,18.273686,-17.400556,
Sh2-44,18.27488,-16.733681,
Sh2-45,18.346143,-16.173286,Omega nebula/M17/NGC6618
Sh2-46,18.103094,-14.158576,
Sh2-47,18.295759,-15.613918,
Sh2-48,18.373368,-14.585916,
Sh2-49,18.311281,-13.961577,Eagle nebula/M16/NGC6611
Sh2-50,18.425112,-14.711743,
Sh2-51,18.679646,-16.558385,
Sh2-52,19.796344,-23.087515,
Sh2-53,18.420764,-13.228967,
Sh2-54,18.298097,-11.73005,
Sh2-55,18.536417,-11.76214,
Sh2-56,18.51839,-9.714649,
Sh2-57,18.509333,-8.615907,
Sh2-58,18.52423,-8.463744,
Sh2-59,18.616985,-7.600308,
Sh2-60,18.611401,-6.701071,
Sh2-61,18.548643,-5.010051,
Sh2-62,18.459567,-3.856223,
Sh2-63,19.961994,-14.115703,
Sh2-64,18.526646,-1.913087,
Sh2-65,18.782811,-3.742976,
Sh2-66,18.758365,-1.996396,
Sh2-67,18.82359,-2.353751,
Sh2-68,18.41986,+0.854963,
Sh2-69,18.740605,-0.282196,
Sh2-70,18.244143,+7.063052,
Sh2-71,19.034085,+2.1597,
Sh2-72,19.063993,+2.313916,
Sh2-73,16.185451,+21.874026,
Sh2-74,19.146949,+5.609019,
Sh2-75,18.987608,+7.120029,
Sh2-76,18.940482,+7.813392,
Sh2-77,19.804799,+1.14794,
Sh2-78,19.053091,+14.12958,
Sh2-79,19.388454,+13.976105,
Sh2-80,19.191371,+16.865717,
Sh2-81,20.020409,+11.792721,
Sh2-82,19.505765,+18.275569,
Sh2-83,19.40893,+20.795876,
Sh2-84,19.817775,+18.4003,
Sh2-85,19.054785,+25.830401,
Sh2-86,19.719358,+23.287625,
Sh2-87,19.773527,+24.62813,
Sh2-88,19.76634,+25.343889,
Sh2-89,19.834002,+26.486094,
Sh2-90,19.820363,+26.867674,
Sh2-91,19.592789,+29.60447,
Sh2-92,19.777585,+28.245497,
Sh2-93,19.917004,+27.213502,
Sh2-94,19.464334,+31.470617,
Sh2-95,19.917144,+29.296951,
Sh2-96,19.478347,+32.68925,
Sh2-97,19.934794,+30.265924,
Sh2-98,19.979034,+31.42162,
Sh2-99,20.014174,+33.492843,
Sh2-100,20.03088,+33.511619,
Sh2-101,19.999311,+35.291056,
Sh2-102,20.529741,+30.605198,
Sh2-103,20.842352,+30.923491,
Sh2-104,20.295871,+36.744509,
Sh2-105,20.200771,+38.349692,NGC 6888
Sh2-106,20.457686,+37.39711,
Sh2-107,20.713005,+36.342865,
Sh2-108,20.376521,+40.254347,
Sh2-109,20.560683,+40.342521,
Sh2-110,21.346905,+32.45791,
Sh2-111,21.698135,+30.105748,
Sh2-112,20.563988,+45.659853,
