name,ra,dec,pmra,pmdec,mag,alias
CG And,0.18181,45.253335,17.745,0.607,6.347,
tau Phe,0.269095,-48.809874,-17.506,-6.325,5.698,
tet Oct,0.398747,-77.065725,-56.841,-176.791,4.783,
29 Psc,0.456034,-3.027503,17.905,-10.329,5.1,
30 Psc,0.490081,-6.014071,46.941,-40.471,4.41,
85 Peg,0.54312,27.081833,716.46,-941.497,5.75,
zet Scl,0.583029,-29.720441,9.181,15.079,5.022,
31 Psc,0.600695,8.956825,-0.947,-3.57,6.325,
c Psc,0.623758,8.485464,-93.867,-46.971,5.69,
2 Cet,0.934949,-17.335991,25.363,-8.987,4.536,
9 Cas,1.056927,62.287664,-0.936,-0.263,5.884,
3 Cet,1.125492,-10.509523,-6.85,-12.02,4.924,
33 Psc,1.333921,-5.70762,-11.985,89.314,4.61,
86 Peg,1.42484,13.396268,43.461,-5.924,5.537,
10 Cas,1.610572,64.196158,9.248,0.828,5.59,
4 Cet,1.933796,-2.54868,26.822,1.978,6.43,
5 Cet,2.050398,-2.447706,6.577,-3.723,6.22,
87 Peg,2.260103,18.211965,140.876,-25.25,5.555,
bet Cas,2.294521,59.149781,523.5,-179.77,2.27,Caph
kap01 Scl,2.337779,-27.987926,70.11,-8.97,5.42,
eps Phe,2.352667,-45.747424,120.393,-179.597,3.87,
gam03 Oct,2.509052,-82.224047,-22.05,-20.218,5.283,
34 Psc,2.509179,11.145816,31.493,2.651,5.53,
22 And,2.580194,46.072272,5.49,0.28,5.04,
6 Cet,2.816075,-15.467978,-82.828,-269.549,4.89,
kap02 Scl,2.89342,-27.799719,5.058,12.9,5.404,
tet Scl,2.933421,-35.133114,171.298,125.436,5.239,
gam Peg,3.308963,15.183593,1.98,-9.28,2.84,Algenib
23 And,3.3785,41.035371,-123.558,-146.479,5.71,
chi Peg,3.650684,20.206703,91.831,1.152,4.8,
7 Cet,3.660069,-18.932865,-26.15,-73.58,4.46,
35 Psc,3.745168,8.820961,99.918,-24.82,6.01,
36 Psc,4.141841,8.240157,-29.869,-14.949,6.121,
tet And,4.272926,38.681636,-57.551,-14.795,4.61,
38 Psc,4.352179,8.876442,75.32,75.53,6.66,
AO Cas,4.42943,51.433088,-2.988,-2.374,6.14,
sig And,4.581905,36.785224,-65.212,-42.221,4.52,
26 And,4.675703,43.791141,23.328,-2.755,6.11,
iot Cet,4.856976,-8.823919,-14.61,-36.668,3.55,
40 Psc,4.984482,16.250871,-12.963,-11.787,6.603,
zet Tuc,5.017744,-64.874794,1706.747,1164.959,4.23,
d Psc,5.149425,8.190272,-4.213,9.698,5.37,
pi. Tuc,5.162676,-69.624919,-4.465,4.861,5.499,
rho And,5.280286,37.968605,57.737,-38.838,5.18,
iot Scl,5.379992,-28.98147,33.034,-72.244,5.167,
T Cet,5.442802,-20.058024,62.12,-11.626,5.74,
42 Psc,5.606179,13.482488,62.593,22.29,6.24,
9 Cet,5.715785,-12.209436,394.388,60.893,6.39,
12 Cas,6.197939,61.831058,14.126,-2.715,5.377,
44 Psc,6.350868,1.939692,-14.685,-12.777,5.77,
45 Psc,6.424632,7.691131,40.079,-45.875,6.763,
bet Hyi,6.437793,-77.254246,2219.54,324.09,2.79,
kap Phe,6.550839,-43.679831,106.394,32.491,3.94,
alf Phe,6.571047,-42.305987,233.05,-356.3,2.38,Ankaa
10 Cet,6.655896,-0.049531,71.52,2.06,6.192,
eta Scl,6.982074,-33.007166,-20.07,-49.425,4.81,
46 Psc,6.993609,19.514038,-21.663,-17.717,6.38,
47 Psc,7.012145,17.893127,114.648,20.338,5.06,
48 Psc,7.052928,16.445068,18.052,-13.369,6.039,
12 Cet,7.509827,-3.957327,9.474,-12.464,5.72,
28 And,7.530688,29.751558,42.976,-56.675,5.214,
lam01 Phe,7.854088,-48.803514,140.561,19.647,4.77,
13 Cas,7.855121,66.519617,18.921,-3.982,6.165,
bet01 Tuc,7.886117,-62.958217,84.011,-54.85,4.289,
bet02 Tuc,7.88926,-62.965592,105.607,-48.057,4.514,
lam Cas,7.943164,54.522285,41.2,-16.54,4.74,
51 Psc,8.099079,6.955485,26.415,1.593,5.679,
52 Psc,8.147853,20.294318,135.64,-47.447,5.37,
bet03 Tuc,8.182939,-63.031501,86.541,-50.115,5.09,
kap Cas,8.249963,62.931782,3.65,-2.07,4.16,
tet Tuc,8.34733,-71.266244,73.615,-12.377,6.109,
16 Cas,8.60383,66.750338,23.018,-0.533,6.473,
13 Cet,8.811998,-3.592843,408.34,-35.22,5.21,
14 Cet,8.886806,-0.505611,143.173,-62.295,5.936,
lam02 Phe,8.921564,-48.000907,46.542,-101.536,5.51,
53 Psc,9.197129,15.231719,3.918,-9.89,5.863,
pi. And,9.220205,33.719344,14.75,-3.51,4.36,
zet Cas,9.24285,53.896907,17.38,-9.86,3.66,Fulu
15 Cet,9.518927,-0.503528,-42.032,-10.345,6.64,
eps And,9.638947,29.311753,-228.701,-253.206,4.38,
del And,9.83168,30.860983,176.856,-108.171,3.28,
54 Psc,9.840855,21.250476,-461.948,-369.624,5.88,
55 Psc,9.981548,21.438497,28.05,-28.12,5.428,
alf Cas,10.126837,56.537331,50.88,-32.13,2.23,Schedar
32 And,10.279935,39.458664,-14.297,-3.274,5.33,
mu. Phe,10.331547,-46.084981,-23.053,-2.487,4.59,
ksi Phe,10.443322,-56.501316,90.41,56.986,5.7,
ksi Cas,10.516217,50.512533,16.126,-6.05,4.81,
rho Tuc,10.618216,-65.468029,53.444,41.18,5.381,
lam01 Scl,10.678716,-38.463484,2.56,-6.72,6.05,
eta Phe,10.838375,-57.463063,6.136,11.628,4.361,
pi. Cas,10.866957,47.024546,-24.57,-36.886,4.949,
bet Cet,10.897379,-17.986606,232.55,31.99,2.01,Diphda
phi01 Cet,11.0475,-10.609551,-9.323,-113.192,4.767,
lam02 Scl,11.050412,-38.421682,245.567,119.038,5.96,
68 Cas,11.109131,47.863984,-39.855,8.455,5.648,
omi Cas,11.181327,48.284365,18.84,-7.18,4.5,
18 Cet,11.369531,-12.880809,-33.606,-205.497,6.15,
21 Cas,11.412819,74.988071,-15.306,-22.936,5.652,
57 Psc,11.637299,15.475509,-26.456,-49.74,5.38,
58 Psc,11.756067,11.973851,56.171,-34.165,5.504,
59 Psc,11.806776,19.578706,107.105,8.207,6.101,
zet And,11.83469,24.267178,-101.068,-80.276,4.06,
60 Psc,11.848474,6.740971,9.338,-20.014,5.961,
23 Cas,11.941891,74.84757,15.153,-7.549,5.413,
61 Psc,11.978448,20.925345,158.608,13.903,6.51,
62 Psc,12.07254,7.29993,111.178,4.443,5.912,
lam Hyi,12.14757,-74.923435,133,-34.192,5.083,
del Psc,12.170601,7.585082,81.994,-50.232,4.44,
nu. Cas,12.208422,50.968165,29.453,-8.152,4.891,
64 Psc,12.244615,16.940646,-2.468,-200.976,5.07,
eta Cas,12.276227,57.815177,1078.609,-551.133,3.44,Achird
nu. And,12.45353,41.07891,22.77,-18.35,4.53,
65 Psc B,12.470307,27.710809,88.848,-11.292,6.28,
phi02 Cet,12.53162,-10.644329,-228.031,-229.577,5.19,
rho Phe,12.67161,-50.986817,62.919,44.139,5.225,
lam01 Tuc,13.102164,-69.503761,4,-67.685,6.22,
20 Cet,13.25206,-1.144259,6.99,-15.66,4.76,
21 Cet,13.573303,-8.740664,16.743,-48.222,6.161,
66 Psc,13.64676,19.188422,12.687,-11.581,5.79,
36 And,13.742108,23.628328,135.43,-48.61,5.45,
ups01 Cas,13.750649,58.972699,-31.2,-44.986,4.82,
lam Tuc,13.751296,-69.527084,6.931,-43.593,5.454,
k Psc,13.99379,27.209382,-19.34,11.396,6.1,
phi03 Cet,14.006206,-11.266526,-27.758,-7.484,5.326,
ups02 Cas,14.166271,59.181057,-92.611,-45.397,4.622,Castula
mu. And,14.188371,38.499334,151.021,34.8,3.87,
eta And,14.301667,23.41765,-43.008,-45.254,4.42,
h Psc,14.458967,28.992214,9.009,-5.875,5.438,
alf Scl,14.651497,-29.357451,20.13,5.31,4.27,
phi04 Cet,14.682783,-11.379975,-32.898,-14.466,5.614,
ksi Scl,15.326147,-38.916528,66.952,49.814,5.582,
ome Phe,15.507585,-57.002387,6.018,17.224,6.1,
U Cep,15.57685,81.875578,23.811,-4.381,6.92,
sig Scl,15.610129,-31.552014,81.721,16.695,5.501,
sig Psc,15.70457,31.804262,15.146,-30.878,5.5,
39 And,15.726061,41.345213,-18.38,-18.498,5.932,
eps Psc,15.735868,7.890133,-79.362,25.728,4.28,
25 Cet,15.76057,-4.836599,-116.585,-102.608,5.408,
26 Cet,15.954284,1.366847,122.797,-40.391,6.065,
73 Psc,16.219325,5.656265,29.332,-14.9,6.007,
72 Psc,16.272316,14.946135,8.735,53.512,5.631,
27 Cet,16.403678,-9.979323,-31.139,-34.286,6.088,
74 Psc A,16.4206,21.473192,63.176,-23.413,5.273,
74 Psc B,16.423796,21.465448,54.952,-15.938,5.455,
77 Psc A,16.455114,4.908377,34.533,-126.163,6.35,
77 Psc B,16.464305,4.909384,24.106,-117.494,7.42,
bet Phe,16.520998,-46.718411,-80.81,34.97,3.3,
28 Cet,16.521452,-9.839355,30.465,6.264,5.565,
76 Psc,16.54667,32.181488,7.351,-22.014,6.26,
75 Psc,16.64011,12.956037,13.777,26.503,6.144,
iot Tuc,16.827768,-61.775288,74.337,-11.324,5.342,
30 Cet,16.942536,-9.785551,149.194,17.126,5.705,
ups Phe,16.949264,-41.486843,53.687,1.376,5.207,
psi02 Psc,16.988183,20.739069,87.677,-90.069,5.563,
29 Cet,16.998599,1.99305,145.346,-437.989,6.44,
41 And,17.003552,43.94209,159.581,-60.487,5.04,
78 Psc,17.005598,32.012129,202.43,-24.456,6.23,
mu. Cas,17.067929,54.920156,3468.251,-1564.844,5.17,
e Psc,17.092556,5.649851,-284.71,-193.578,5.501,
zet Phe,17.096169,-55.24576,20.375,31.739,4.014,Wurren
eta Cet,17.147464,-10.182264,215.922,-139.029,3.45,
2 UMi,17.186994,86.257091,80.457,-10.542,4.225,
phi And,17.375523,47.241794,4.05,-12.43,4.25,
bet And,17.433016,35.620558,175.9,-112.2,2.05,MIRACH
psi03 Psc,17.455003,19.658407,-5.971,9.17,5.562,
32 Cet,17.549774,-8.906134,-21.642,-38.774,6.394,
44 And,17.578085,42.081475,-135.569,-41.79,5.665,
33 Cet,17.639804,2.445674,-7.089,-13.694,5.942,
31 Cas,17.663843,68.778622,35.202,-26.792,5.309,
tet Cas,17.775675,55.149899,226.056,-19.541,4.33,
g Psc,17.77818,31.424729,-9.874,-9.132,5.152,
